"Año","Mes","Oferta","Demanda"
2014,"Ene",60,33
2014,"Feb",122,264
2014,"Mar",166,528
2014,"Abr",188,908
2014,"May",207,1304
2014,"Jun",217,1614
2014,"Jul",225,1965
2014,"Ago",239,2361
2014,"Sep",240,2853
2014,"Oct",247,3443
2014,"Nov",247,4113
2014,"Dic",254,5014
2015,"Ene",254,6033
2015,"Feb",254,7122
2015,"Mar",254,8352
2015,"Abr",263,9674
2015,"May",265,11324
2015,"Jun",277,13010
2015,"Jul",277,14189
2015,"Ago",281,15179
2015,"Sep",281,15971
2015,"Oct",282,16661
2015,"Nov",282,17255
2015,"Dic",283,17744
2016,"Ene",283,18087
2016,"Feb",283,18225
2016,"Mar",283,18264
2016,"Abr",283,18285
2016,"May",283,18288
2016,"Jun",283,18300
2016,"Jul",283,18310
