FUNCIÓN_DENOMINACIÓN,TIPO_URG,CENTRO_GESTOR,MES_1,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,MES_10,MES_11,MES_12,EJERCIDO_ENERO_AGOSTO
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN ÁLVARO OBREGÓN,,,,,,,,,,,,,0
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN CUAJIMALPA DE MORELOS,,,,,,,,,,,,,"31,205"
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN LA MAGDALENA CONTRERAS,,,,,,,,,,,,,"3,423,611"
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN MIGUEL HIDALGO,,,,,,,,,,,,,0
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN MILPA ALTA,,,,,,,,,,,,,"50,308,258"
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN TLÁHUAC,,,,,,,,,,,,,"2,444,008"
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN TLALPAN,,,,,,,,,,,,,"3,934,674"
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN XOCHIMILCO,,,,,,,,,,,,,"666,066"
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DEPENDENCIAS,SECRETARÍA DE DESARROLLO RURAL Y EQUIDAD PARA LAS COMUNIDADES DEL DISTRITO FEDERAL,,,,,,,,,,,,,"64,414,032"
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DEPENDENCIAS,SECRETARÍA DE GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,"7,834,447"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN ÁLVARO OBREGÓN,,,,,,,,,,,,,"66,493,576"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN AZCAPOTZALCO,,,,,,,,,,,,,"107,008,746"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN BENITO JUÁREZ,,,,,,,,,,,,,"24,643,896"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN COYOACÁN,,,,,,,,,,,,,"43,612,801"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN CUAJIMALPA DE MORELOS,,,,,,,,,,,,,"14,762,573"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN CUAUHTÉMOC,,,,,,,,,,,,,"65,475,298"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN GUSTAVO A. MADERO,,,,,,,,,,,,,"135,707,181"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN IZTACALCO,,,,,,,,,,,,,"36,112,692"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN IZTAPALAPA,,,,,,,,,,,,,"127,145,567"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN LA MAGDALENA CONTRERAS,,,,,,,,,,,,,"52,440,547"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN MIGUEL HIDALGO,,,,,,,,,,,,,"46,640,943"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN MILPA ALTA,,,,,,,,,,,,,"326,047"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN TLÁHUAC,,,,,,,,,,,,,"46,624,178"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN TLALPAN,,,,,,,,,,,,,"22,095,838"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN VENUSTIANO CARRANZA,,,,,,,,,,,,,"126,984,333"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN XOCHIMILCO,,,,,,,,,,,,,"42,400,834"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,CONSEJERÍA JURÍDICA Y DE SERVICIOS LEGALES,,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,CONTRALORÍA GENERAL,,,,,,,,,,,,,"29,000"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,JEFATURA DEL GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,OFICIALÍA MAYOR,,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,PROCURADURÍA GENERAL DE JUSTICIA DEL DISTRITO FEDERAL,,,,,,,,,,,,,"1,509,494"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,"SECRETARÍA DE CIENCIA, TECNOLOGÍA E INNOVACIÓN DEL DISTRITO FEDERAL",,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE CULTURA DEL DISTRITO FEDERAL,,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE DESARROLLO ECONÓMICO DEL DISTRITO FEDERAL,,,,,,,,,,,,,"25,827"
