"Indicador","Ranking Mundial","Ranking Subnacional","Calificación Actual","Proceso","Entidad Responsable","Entidad_GCDMX"," Número de procedimientos actual","Tiempo Actual (días) ","Costo Actual (MXN)","Meta - Reducción/Eliminar proceso","Meta Tiempo","Meta Costo","Fecha limite de cumplimiento de Meta","Estatus_actual "
"Apertura de una empresa",65,11,"88,86","Obtención del permiso de uso de denominación o razón social y presentación del proyecto de escritura constitutiva en línea"," Secretaría de Economía","NO",6,"0,5",0,,,,,
"Apertura de una empresa",65,11,"88,86","Firma del acta constitutiva ante el fedatario público. Posteriormente, el fedatario da el aviso de uso de denominación o razón social en línea e inscribe la sociedad en el Registro Federal de Contribuyentes (RFC) y el Registro Público de Comercio (RPC) en línea","Notario Público","NO",6,2,24841,,,,,
"Apertura de una empresa",65,11,"88,86","Inscripción en el Instituto Mexicano del Seguro Social (IMSS)","IMSS","NO",6,1,0,,,,,
"Apertura de una empresa",65,11,"88,86","Registro de la compañía en el Registro de Contribuyentes en la Secretaría de Finanzas del Gobierno del Distrito Federal","SEFIN","SI",6,1,0,6,1,0,,"Cumplida"
"Apertura de una empresa",65,11,"88,86","Notificación a la delegación política de la apertura de un establecimiento mercantil en línea","SEDECO","SI",6,"0,5",0,6,"0,5",0,,"Cumplida"
"Apertura de una empresa",65,11,"88,86","Inscripción en el Sistema de Información Empresarial (SIEM)","Secretaria de Economía","NO",6,1,"100-670",,,,,
"Manejo de permisos de construcción",67,26,"71,28","Solicitar y obtener el certificado de alineamiento y número oficial","SEDUVI","SI",11,11,1080,7,,,,"Atrasada"
"Manejo de permisos de construcción",67,26,"71,28","Solicitar y obtener el certificado de zonificación especificando uso de suelo","SEDUVI","SI",11,12,1336,7,10,,,"Cumplida"
"Manejo de permisos de construcción",67,26,"71,28","Solicitar y obtener el estudio de factibilidad de agua","SACMX","SI",11,12,0,7,,,,"Cumplida"
"Manejo de permisos de construcción",67,26,"71,28","Registrar manifestación de construcción tipo B","Ventanilla Única Delegacional","NO",11,1,788549,,,,,
"Manejo de permisos de construcción",67,26,"71,28","Aviso de terminación de obra a la autoridad delegacional","Delegacion","NO",11,1,0,,,,,
"Manejo de permisos de construcción",67,26,"71,28","Recibir inspección final","Delegacion","NO",11,1,0,,,,,
"Manejo de permisos de construcción",67,26,"71,28","Solicitar y obtener del certificado de ocupación","Ventanilla Única Delegacional","NO",11,6,0,,,,,
"Manejo de permisos de construcción",67,26,"71,28","Solicitar y obtener autorización de protección civil","Secretaria de Protección Civil","SI",11,7,0,7,7,,,"Cumplida"
"Manejo de permisos de construcción",67,26,"71,28","Actualizar el valor de obra en la Secretaría de Finanzas","SEFIN","SI",11,1,0,7,1,,"Noviembre 31, 2016","En progreso"
"Manejo de permisos de construcción",67,26,"71,28","Conexión a los servicios de agua y drenaje","SACMX","SI",11,30,0,7,28,,"Noviembre 31, 2016","En progreso"
"Manejo de permisos de construcción",67,26,"71,28","Solicitud y conexión al servicio de teléfono","TELMEX","NO",11,,,,,,,
"Registro de propiedades",106,32,"56,51","El notario obtiene certificado de no adeudo en el sistema de agua","SACMX","SI",7,3,140,5,2,,"Noviembre 31, 2016","En progreso"
"Registro de propiedades",106,32,"56,51","El notario obtiene el certificado de zonificación de la propiedad","RPP","SI",7,12,892,5,6,,,"Atrasada"
"Registro de propiedades",106,32,"56,51","El notario obtiene el certificado de libertad de gravámenes","RPP","SI",7,2,540,5,2,,,"En progreso"
"Registro de propiedades",106,32,"56,51","El notario revisa que la propiedad no tenga adeudos de impuesto predial","SEFIN","SI",7,1,130,5,1,,,"En progreso"
"Registro de propiedades",106,32,"56,51","El notario solicita un avalúo comercial de la propiedad","Perito","NO",7,7,"3000-5000",,,,,
"Registro de propiedades",106,32,"56,51","El notario formaliza el contrato de compraventa","Notario Público","NO",7,3,320112,,,,,
"Registro de propiedades",106,32,"56,51","Registro de la transferencia del título en el Registro Público de la Propiedad del Distrito Federal","RPP","SI",7,"10,20",15479,5,10,,,"Atrasada"
"Cumplimiento de contratos",41,30,"65,95","Presencia y Notificacion ","Gobierno Federal","NO ",10,42,,,,,,"No definida"
"Cumplimiento de contratos",41,30,"65,95","Juicio y Sentencia","Gobierno Federal","NO ",10,175,,,,,,"No definida"
"Cumplimiento de contratos",41,30,"65,95","Ejecución de la Sentencia","Gobierno Federal","NO ",10,183,,,,,,"No definida"
"Cumplimiento de contratos",41,30,"65,95","Honorarios de los abogados","Gobierno Federal","NO",10,,20,,,,,"No definida"
"Cumplimiento de contratos",41,30,"65,95","Pagos a la corte","Gobierno Federal","NO",10,,5,,,,,"No definida"
"Cumplimiento de contratos",41,30,"65,95","Pagos de ejecución","Gobierno Federal","NO",10,,6,,,,,"No definida"
"Cumplimiento de contratos",41,30,"65,95","Estructura de la corte y procedimientos","Gobierno Federal","NO ",10,,,,,,,"No definida"
"Cumplimiento de contratos",41,30,"65,95","Manejo de casos","Gobierno Federal","NO ",10,,,,,,,"No definida"
"Cumplimiento de contratos",41,30,"65,95","Automatizacion de las cortes","Gobierno Federal","NO ",10,,,,,,,"No definida"
"Cumplimiento de contratos",41,30,"65,95","Resolución de disputas alternas","Gobierno Federal","NO",10,,,,,,,"No definida"
