FUNCION DESCRIPCION,EJERCIDO DICIEMBRE
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA","261,302,441"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,"27,709,282,075"
"ASUNTOS ECONOMICOS, COMERCIALES Y LABORALES EN GENERAL","841,684,935"
ASUNTOS FINANCIEROS Y HACENDARIOS,"5,030,033,842"
"CIENCIA, TECNOLOGIA E INNOVACION","217,220,747"
COORDINACION DE LA POLITICA DE GOBIERNO,"2,321,889,194"
EDUCACION,"4,518,025,568"
JUSTICIA,"9,335,158,646"
OTRAS INDUSTRIAS Y OTROS ASUNTOS ECONOMICOS,"1,659,787,358"
OTROS ASUNTOS SOCIALES,"809,408,876"
OTROS SERVICIOS GENERALES,"16,702,490,928"
PROTECCION AMBIENTAL,"12,151,324,851"
PROTECCION SOCIAL,"17,041,792,493"
"RECREACION, CULTURA Y OTRAS MANIFESTACIONES SOCIALES","3,418,381,655"
SALUD,"14,907,995,808"
TRANSPORTE,"14,452,689,486"
TURISMO,"343,372,039"
VIVIENDA Y SERVICIOS A LA COMUNIDAD,"19,315,878,206"
