FUNCIÓN_DENOMINACIÓN,TIPO_URG,CENTRO_GESTOR,MES_1,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,MES_10,MES_11,MES_12
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN ÁLVARO OBREGÓN,0,0,0,0,0,0,0,0,0,0,0,0
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN CUAJIMALPA DE MORELOS,"3,253","7,062","12,781","16,455","20,119","23,817","27,523","31,205",0,0,0,0
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN LA MAGDALENA CONTRERAS,"435,214","487,178","730,044","1,711,326","2,031,218","2,165,007","2,323,955","3,423,611",0,0,0,0
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN MIGUEL HIDALGO,0,0,0,0,0,0,0,0,0,0,0,0
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN MILPA ALTA,0,0,333,"23,811,533","23,816,398","23,816,398","43,324,438","50,308,258",0,0,0,0
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN TLÁHUAC,0,"63,175","604,388","1,170,781","1,433,509","1,868,504","2,131,297","2,444,008",0,0,0,0
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN TLALPAN,"107,260","221,496","386,797","483,673","681,429","1,665,729","3,810,543","3,934,674",0,0,0,0
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DELEGACIONES,DELEGACIÓN XOCHIMILCO,0,0,0,0,0,"563,049","666,066","666,066",0,0,0,0
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DEPENDENCIAS,SECRETARÍA DE DESARROLLO RURAL Y EQUIDAD PARA LAS COMUNIDADES DEL DISTRITO FEDERAL,"2,477,001","8,972,918","13,404,336","19,168,212","38,397,703","47,581,145","56,324,140","64,414,032",0,0,0,0
"AGROPECUARIA, SILVICULTURA, PESCA Y CAZA",DEPENDENCIAS,SECRETARÍA DE GOBIERNO DEL DISTRITO FEDERAL,"795,665","1,488,655","2,223,356","3,484,341","4,541,432","5,997,185","6,819,137","7,834,447",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN ÁLVARO OBREGÓN,0,0,"19,802,749","29,630,444","39,204,315","39,204,315","49,032,010","66,493,576",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN AZCAPOTZALCO,"6,440,498","21,125,478","32,287,360","48,707,034","68,160,886","77,453,335","91,358,271","107,008,746",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN BENITO JUÁREZ,"358,894","4,713,564","6,709,000","10,845,237","13,547,046","18,050,559","20,396,974","24,643,896",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN COYOACÁN,"5,600,162","10,443,344","15,075,236","19,566,705","28,792,650","33,881,185","38,985,397","43,612,801",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN CUAJIMALPA DE MORELOS,"307,135","525,160","1,008,562","5,841,808","8,708,403","10,741,385","11,510,366","14,762,573",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN CUAUHTÉMOC,"439,969","3,608,760","6,698,182","9,205,537","38,272,849","46,898,922","55,389,439","65,475,298",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN GUSTAVO A. MADERO,0,"20,493,876","31,987,206","56,628,065","84,303,640","117,098,032","128,789,438","135,707,181",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN IZTACALCO,0,0,0,0,0,0,0,"36,112,692",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN IZTAPALAPA,"2,102,452","3,120,129","5,803,534","38,113,476","77,674,801","86,865,422","122,544,641","127,145,567",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN LA MAGDALENA CONTRERAS,"2,840,459","3,978,987","15,425,151","21,624,720","30,240,304","36,743,866","44,911,995","52,440,547",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN MIGUEL HIDALGO,"2,525,719","5,365,943","7,466,289","21,626,858","28,086,609","32,470,611","35,425,184","46,640,943",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN MILPA ALTA,0,0,0,0,"101,500","135,807","159,558","326,047",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN TLÁHUAC,"1,509,732","10,956,338","17,807,176","22,504,263","29,082,896","34,932,175","40,747,711","46,624,178",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN TLALPAN,"249,042","514,279","6,598,481","10,173,147","10,875,704","14,676,645","18,371,965","22,095,838",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN VENUSTIANO CARRANZA,"5,645,007","13,117,567","30,874,419","53,452,705","78,546,765","88,411,538","115,214,605","126,984,333",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DELEGACIONES,DELEGACIÓN XOCHIMILCO,"1,138,573","2,029,692","12,641,829","13,794,271","24,545,894","30,871,865","36,428,258","42,400,834",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,CONSEJERÍA JURÍDICA Y DE SERVICIOS LEGALES,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,CONTRALORÍA GENERAL,0,0,0,0,0,0,"29,000","29,000",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,JEFATURA DEL GOBIERNO DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,OFICIALÍA MAYOR,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,PROCURADURÍA GENERAL DE JUSTICIA DEL DISTRITO FEDERAL,"160,059","327,754","434,471","659,438","911,848","1,128,553","1,318,488","1,509,494",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,"SECRETARÍA DE CIENCIA, TECNOLOGÍA E INNOVACIÓN DEL DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0
