Dependencia,Sector,Clasificacion,Brecha_salarial_entre_hombres_mujeres,Porcion_de_mujeres,Cantidad_de_mujeres,Cantidad_de_hombres
0,AGENCIA DE GESTION URBANA DE LA CIUDAD DE MEXICO,Estabilidad Laboral,0,0,0,1
0,AGENCIA DE GESTION URBANA DE LA CIUDAD DE MEXICO,Mando Medio,0.046608178,0.333333333,11,22
0,AGENCIA DE GESTION URBANA DE LA CIUDAD DE MEXICO,Mando Superior,0.015326372,0.416666667,5,7
0,AGENCIA DE GESTION URBANA DE LA CIUDAD DE MEXICO,Tecnico Operativo de Base,0.232942638,0.285714286,2,5
1,ALVARO OBREGON,Estabilidad Laboral,0.272616312,0.439706862,660,841
1,ALVARO OBREGON,Mando Medio,0.178345916,0.330985915,47,95
1,ALVARO OBREGON,Mando Superior,0.215246221,0.076923077,3,36
1,ALVARO OBREGON,Tecnico Operativo de Base,0.22333139,0.348661077,1289,2408
1,ALVARO OBREGON,Tecnico Operativo de Confianza,-0.049815173,0.755033557,225,73
0,AUTORIDAD DEL ESPACIO P?BLICO DEL D.F.,Estabilidad Laboral,0.177767844,0.357142857,5,9
0,AUTORIDAD DEL ESPACIO P?BLICO DEL D.F.,Mando Medio,0.121377013,0.5,13,13
0,AUTORIDAD DEL ESPACIO P?BLICO DEL D.F.,Mando Superior,0.121400037,0.5,6,6
1,AZCAPOTZALCO,Estabilidad Laboral,0.239027539,0.465060241,386,444
1,AZCAPOTZALCO,Mando Medio,0.064489173,0.429577465,61,81
1,AZCAPOTZALCO,Mando Superior,0.19413357,0.4,14,21
1,AZCAPOTZALCO,Tecnico Operativo de Base,0.182908894,0.407138712,1403,2043
1,AZCAPOTZALCO,Tecnico Operativo de Confianza,0.074876926,0.700934579,75,32
1,BENITO JUAREZ,,0.088952547,0.338979064,1441,2810
0,CAJA DE PREVISION DE LA POLICIA AUXILIAR DEL D. F.,Mando Medio,0.023353361,0.431818182,19,25
0,CAJA DE PREVISION DE LA POLICIA AUXILIAR DEL D. F.,Mando Superior,0.100857764,0.4,2,3
0,CAJA DE PREVISION DE LA POLICIA AUXILIAR DEL D. F.,Tecnico Operativo de Confianza,0.089833106,0.565217391,13,10
0,CAJA DE PREVISION DE LA POLICIA PREVENTIVA DEL D.F.,Estabilidad Laboral,0.181101798,0.541666667,13,11
0,CAJA DE PREVISION P/TRABAJADORES A LISTA DE RAYA DEL GOB. D. F.,Estabilidad Laboral,0.098837209,0.6,27,18
0,CONSEJERIA JURIDICA Y DE SERVICIOS LEGALES,Estabilidad Laboral,0.14174332,0.586206897,170,120
0,CONSEJERIA JURIDICA Y DE SERVICIOS LEGALES,Mando Medio,0.015535728,0.353658537,29,53
0,CONSEJERIA JURIDICA Y DE SERVICIOS LEGALES,Mando Superior,0.20048093,0.294117647,5,12
0,CONSEJERIA JURIDICA Y DE SERVICIOS LEGALES,Tecnico Operativo de Base,0.312795519,0.53461975,942,820
0,CONSEJERIA JURIDICA Y DE SERVICIOS LEGALES,Tecnico Operativo de Confianza,0.180684195,0.5330033,646,566
0,CONTRALORIA GENERAL DEL D.F.,Estabilidad Laboral,0.137314598,0.604395604,55,36
0,CONTRALORIA GENERAL DEL D.F.,Mando Medio,0.000717074,0.496332518,203,206
0,CONTRALORIA GENERAL DEL D.F.,Mando Superior,0.105582636,0.305882353,26,59
0,CONTRALORIA GENERAL DEL D.F.,Tecnico Operativo de Base,-0.047614696,0.61589404,93,58
